Company name;Fixed assets 2018;Fixed assets 2017;Fixed assets 2016;Intangible fixed assets 2018;Intangible fixed assets 2017;Intangible fixed assets 2016;Tangible fixed assets 2018;Tangible fixed assets 2017;Tangible fixed assets 2016;Other fixed assets 2018;Other fixed assets 2017;Other fixed assets 2016;Current assets 2018;Current assets 2017;Current assets 2016;Stock 2018;Stock 2017;Stock 2016;Debtors 2018;Debtors 2017;Debtors 2016;Other current assets 2018;Other current assets 2017;Other current assets 2016;Cash & cash equivalent 2018;Cash & cash equivalent 2017;Cash & cash equivalent 2016;Total assets 2018;Total assets 2017;Total assets 2016;Shareholders funds 2018;Shareholders funds 2017;Shareholders funds 2016;Capital 2018;Capital 2017;Capital 2016;Other shareholders funds 2018;Other shareholders funds 2017;Other shareholders funds 2016;Non-current liabilities 2018;Non-current liabilities 2017;Non-current liabilities 2016;Long term debt 2018;Long term debt 2017;Long term debt 2016;Other non-current liabilities 2018;Other non-current liabilities 2017;Other non-current liabilities 2016;Provisions 2018;Provisions 2017;Provisions 2016;Current liabilities 2018;Current liabilities 2017;Current liabilities 2016;Loans 2018;Loans 2017;Loans 2016;Creditors 2018;Creditors 2017;Creditors 2016;Other current liabilities 2018;Other current liabilities 2017;Other current liabilities 2016;Total shareh. funds & liab. 2018;Total shareh. funds & liab. 2017;Total shareh. funds & liab. 2016;NACE Rev. 2 primary code;NACE Rev. 2, primary code description;MORE evaluation - Score 2018;MORE evaluation - Score 2017;MORE evaluation - Score 2016
SCHREINER COBURG GMBH;1569;1637;1660;26;12;15;1543;1554;1576;0;71;70;2476;2347;1596;745;570;541;0;0;0;1731;1777;1055;1186;882;443;4044;3983;3257;2681;2230;1369;110;110;110;2571;2120;1259;1364;1233;1272;1050;699;496;314;534;776;314;534;776;0;520;616;n.a.;0;0;n.a.;0;0;n.a.;520;616;4044;3983;3257;1812;Other printing;BBB;BBB;BBB
SCHREY GMBH;609;572;601;2;6;5;465;516;546;142;49;49;978;1176;1052;594;639;542;0;0;0;384;537;510;112;327;280;1587;1748;1653;471;558;526;100;100;100;371;458;426;292;1189;1127;255;1126;1089;38;64;38;38;64;38;824;0;0;0;n.a.;n.a.;0;n.a.;n.a.;824;n.a.;n.a.;1587;1748;1653;4764;Retail sale of sporting equipment in specialised stores;BBB;BBB;BB
SCHWARZ UND GRAF ELEKTROTECHNIK GMBH;133;128;150;8;0;0;125;128;150;0;0;0;3987;4188;4045;528;121;172;0;0;0;3459;4066;3874;888;1275;1359;4120;4316;4195;2474;2153;2449;26;26;26;2448;2128;2423;1646;2162;942;1107;607;0;539;1556;942;539;1556;942;0;0;804;n.a.;n.a.;0;n.a.;n.a.;0;n.a.;n.a.;804;4120;4316;4195;3320;Installation of industrial machinery and equipment;BBB;BBB;BBB
SMS SPEDITION MANAGEMENT SERVICE GMBH;76;46;56;9;9;26;67;37;30;0;0;0;3143;2457;1949;12;0;0;0;0;0;3131;2457;1948;1160;513;614;3219;2503;2005;1061;488;641;26;26;26;1035;462;615;512;299;123;0;0;0;512;299;123;512;299;123;1646;1717;1240;0;0;0;0;0;0;1646;1717;1240;3219;2503;2005;5229;Other transportation support activities;BBB;BB;BBB
TEICHERT NORTHEIM GMBH;1442;1278;1059;0;0;1;91;107;92;1351;1171;967;1678;1501;1930;990;1028;940;0;0;0;688;473;991;186;236;419;3120;2779;2990;2152;2091;1973;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;968;688;104;885;600;2;83;88;102;83;88;102;0;0;913;n.a.;n.a.;0;n.a.;n.a.;0;n.a.;n.a.;913;3120;2779;2990;4754;Retail sale of electrical household appliances in specialised stores;BBB;BBB;BBB
TELLUX FILM GMBH;19;24;24;1;1;0;19;23;24;0;0;0;2367;1203;1689;1315;160;98;0;0;0;1052;1043;1591;41;81;71;2386;1227;1713;118;118;118;120;120;120;-2;-2;-2;142;206;360;0;0;0;142;206;360;142;206;360;2126;904;1235;0;0;0;0;0;0;2126;904;1235;2386;1227;1713;5920;Sound recording and music publishing activities;CCC;BB;BB
TRAFAG GMBH;252;242;152;30;30;23;222;212;128;0;0;0;1250;1216;856;336;259;309;0;0;0;914;957;547;185;48;293;1502;1458;1008;752;565;483;153;153;153;598;411;329;750;893;526;649;787;497;101;107;28;101;107;28;0;0;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;1502;1458;1008;4643;Wholesale of electrical household appliances;BBB;BB;BB
TREMA VERFAHRENSTECHNIK GMBH;496;550;623;7;28;41;489;522;582;0;0;0;1809;1692;2243;318;364;622;0;0;0;1492;1327;1621;757;610;1018;2306;2241;2866;869;888;832;154;154;154;715;734;678;1436;959;2034;555;138;964;882;821;1070;882;821;1070;0;394;0;n.a.;55;n.a.;n.a.;239;n.a.;n.a.;99;n.a.;2306;2241;2866;3320;Installation of industrial machinery and equipment;BBB;BBB;BBB
UEBERHOLZ GMBH;148;171;147;1;0;1;147;171;146;0;0;0;1768;1617;1387;95;73;0;0;0;0;1672;1544;1387;823;777;616;1916;1788;1533;792;697;645;51;51;51;741;646;594;654;1091;513;155;657;72;499;435;441;499;435;441;470;0;376;0;n.a.;0;0;n.a.;0;470;n.a.;376;1916;1788;1533;8230;Organisation of conventions and trade shows;BBB;BBB;BBB
VAUPEL-SERVICE + TEAM STROMRICHTER GMBH;53;28;28;21;1;5;32;27;24;0;0;0;972;911;1290;313;261;352;0;0;0;659;650;938;0;49;111;1025;939;1318;7;91;188;26;26;26;-19;65;162;361;849;1131;0;493;730;361;355;400;361;355;400;657;0;0;0;n.a.;n.a.;0;n.a.;n.a.;657;n.a.;n.a.;1025;939;1318;9529;Repair of other personal and household goods;B;BB;BB
VOSS TRANSPORT GMBH;1902;2101;3385;0;0;1;1902;2101;3384;0;0;0;854;1037;405;17;17;37;0;0;0;838;1019;367;4;170;38;2756;3138;3790;1116;221;177;50;50;50;1066;171;127;1640;1329;2328;1630;314;1585;10;1015;743;10;1015;743;0;1588;1285;n.a.;0;0;n.a.;0;0;n.a.;1588;1285;2756;3138;3790;4941;Freight transport by road;BBB;CCC;CC
WIGO-ZELTE GMBH & CO. KG;758;672;605;25;27;33;733;646;572;0;0;0;980;1434;1023;655;725;577;132;297;309;193;413;137;110;348;45;1738;2107;1628;552;731;629;532;708;604;21;23;25;814;415;475;702;307;352;112;108;123;112;108;123;371;961;524;n.a.;0;0;n.a.;0;0;149;961;524;1738;2107;1628;1392;Manufacture of made-up textile articles, except apparel;BBB;BBB;BBB
WILHELM DREISOERNER GMBH & CO. KG;443;182;166;8;0;0;424;171;33;12;12;133;1054;939;719;567;550;409;0;0;0;487;389;309;145;150;112;1497;1121;885;80;80;116;80;80;116;0;0;0;1407;1041;769;1367;1000;603;40;41;166;40;41;166;10;0;0;0;n.a.;n.a.;0;n.a.;n.a.;10;n.a.;n.a.;1497;1121;885;4673;Wholesale of wood, construction materials and sanitary equipment;B;BB;BB
WITTMANN-OIL GMBH;277;246;282;0;0;0;277;246;282;0;0;0;894;845;923;64;28;50;0;0;0;830;817;873;245;52;204;1171;1091;1204;663;649;615;25;25;25;638;624;590;26;37;589;0;8;555;26;29;34;26;29;34;481;405;0;0;0;n.a.;0;0;n.a.;481;405;n.a.;1171;1091;1204;4778;Other retail sale of new goods in specialised stores;BB;BB;BB
WUERDIG-PUMPENTECHNIK GMBH & CO. KG;160;188;200;0;4;15;160;184;185;0;0;0;1253;1203;1055;268;220;84;0;0;0;986;983;971;428;306;340;1413;1391;1255;310;310;310;10;10;10;300;300;300;275;1081;945;122;923;755;154;158;190;154;158;190;828;0;0;0;n.a.;n.a.;0;n.a.;n.a.;828;n.a.;n.a.;1413;1391;1255;4614;Agents involved in the sale of machinery, industrial equipment, ships and aircraft;BB;BB;BB
ZEGLA PLAST KUNSTSTOFFSPRITZEREI GMBH & CO. KG;15;27;38;1;3;7;14;24;32;0;0;0;1543;1252;1283;866;660;685;0;0;0;678;592;599;46;188;123;1559;1279;1322;50;50;50;50;50;50;0;0;0;1509;1229;1272;1445;1186;1236;63;44;36;63;44;36;0;0;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;1559;1279;1322;2229;Manufacture of other plastic products;B;B;CCC
ZWETKO VERTRIEBS- UND VERTRIEBSFOERDERUNGSGESELLSCHAFT MBH;567;545;450;32;45;49;389;353;255;146;146;146;2327;2288;2067;1404;1265;1292;0;0;0;923;1023;775;456;110;294;2894;2833;2517;242;166;176;26;26;26;216;140;150;2601;2584;2341;2579;2539;2300;21;45;41;21;45;41;52;82;0;0;0;n.a.;0;0;n.a.;52;82;n.a.;2894;2833;2517;4644;Wholesale of china and glassware and cleaning materials;CCC;CCC;B
KOERNER-LOGISTICS GMBH & CO. KG;787;579;3;97;107;0;687;469;1;4;4;2;658;520;402;113;110;0;0;0;0;545;411;402;35;21;401;1446;1099;405;400;397;396;400;397;396;0;0;0;1046;494;1;1020;487;0;26;7;1;26;7;1;0;208;8;n.a.;0;0;n.a.;0;0;n.a.;208;8;1446;1099;405;5229;Other transportation support activities;BB;BB;BB
HANS PETER ESSER GMBH;1207;930;907;21;31;44;1187;899;864;0;0;0;2674;2495;2278;217;100;12;0;0;0;2457;2395;2266;1826;1556;1569;3882;3424;3186;2019;1636;1672;26;26;26;1993;1610;1646;1039;1788;633;1;998;0;1037;790;633;1037;790;633;823;0;881;0;n.a.;0;0;n.a.;0;823;n.a.;881;3882;3424;3186;4646;Wholesale of pharmaceutical goods;BBB;BBB;BBB
WEIDEMANN & SCHILLINGS BAU GMBH;432;348;268;14;2;1;342;266;182;76;79;85;932;862;1098;480;-14;702;0;0;330;452;876;66;8;277;35;1363;1210;1366;318;284;74;25;25;25;293;259;49;270;293;32;214;247;0;56;46;32;56;46;32;775;633;1259;0;0;201;0;0;520;775;633;538;1363;1210;1366;4399;Other specialised construction activities nec;B;BB;B
PROMEDON GMBH;84;61;46;1;0;2;83;61;44;0;0;0;2204;1631;1169;1135;601;315;0;0;0;1069;1030;854;120;172;132;2288;1692;1215;-296;-72;18;25;25;25;-321;-97;-7;383;406;355;300;300;300;83;106;55;83;106;55;2201;1358;842;0;0;0;0;0;0;2201;1358;842;2288;1692;1215;7219;Other research and experimental development on natural sciences and engineering;CCC;CCC;B
C/R/O/ GMBH HANDELSGESELLSCHAFT FUER BODENBELAEGE;31;42;24;n.a.;0;0;n.a.;42;24;n.a.;0;0;2073;1993;2514;503;629;653;0;0;0;1570;1364;1861;n.a.;n.a.;n.a.;2104;2035;2539;1157;923;1653;30;30;30;1127;893;1623;231;183;105;0;0;0;231;183;105;231;183;105;717;929;781;0;0;n.a.;0;0;n.a.;717;929;0;2104;2035;2539;4647;Wholesale of furniture, carpets and lighting equipment;BBB;BBB;BBB
ORIENT FREIGHT GMBH INTERNATIONALE SPEDITION;130;68;30;1;0;0;128;68;30;0;0;0;1610;1414;1070;0;0;0;0;0;0;1610;1414;1070;878;389;292;1740;1481;1100;888;750;508;26;26;26;862;725;482;852;731;592;338;594;427;514;138;165;514;138;165;0;0;0;n.a.;n.a.;0;n.a.;n.a.;0;n.a.;n.a.;0;1740;1481;1100;5229;Other transportation support activities;BBB;BB;BB
ERNST HANDELSGESELLSCHAFT MBH;180;142;133;30;0;1;150;142;132;0;0;0;1321;1285;1207;603;498;582;0;0;0;718;787;626;167;489;268;1502;1427;1341;682;790;707;50;50;50;632;740;657;481;389;560;0;0;217;481;389;343;481;389;343;338;249;74;0;0;0;0;0;0;338;249;74;1502;1427;1341;4649;Wholesale of other household goods;BBB;BB;BB
WH SMITH GERMANY GMBH;1592;1551;379;67;82;n.a.;1524;1469;n.a.;0;0;n.a.;2901;3761;3092;694;643;n.a.;0;0;n.a.;2207;3118;2500;577;436;n.a.;4492;5312;3470;-2179;-1108;-197;25;25;0;-2204;-1133;-197;6671;43;6;6620;0;0;51;43;6;51;43;6;0;6378;3661;n.a.;0;0;n.a.;0;0;n.a.;6378;3661;4492;5312;3470;8299;Other business support service activities nec;CCC;CCC;CC
DSL TRANSPORT GMBH;198;219;192;0;0;0;198;219;192;0;0;0;813;535;693;0;0;2;0;0;0;813;535;690;290;121;265;1011;754;885;331;204;190;13;13;13;319;192;177;680;549;696;614;435;603;66;113;92;66;113;92;0;0;0;n.a.;0;n.a.;n.a.;0;n.a.;n.a.;0;n.a.;1011;754;885;5229;Other transportation support activities;BB;BB;BB
REDSTONE GMBH & CO. KG;151;183;254;8;12;0;144;171;254;0;0;0;1279;1462;1320;641;550;560;0;0;0;639;913;761;22;426;218;1431;1645;1574;789;1065;900;100;100;100;689;965;800;188;252;274;86;138;128;102;114;146;102;114;146;453;328;400;0;0;0;0;0;0;453;328;400;1431;1645;1574;4673;Wholesale of wood, construction materials and sanitary equipment;BB;BBB;BBB
IMMOBILIENVERMITTLUNG BW GMBH;2;1;1;0;0;0;2;1;1;0;0;0;6757;5743;5598;0;0;0;0;0;0;6757;5743;5598;n.a.;n.a.;n.a.;6759;5744;5598;3607;3192;3262;2500;2500;2500;1107;692;762;2803;2199;2043;0;0;0;2803;2199;2043;2803;2199;2043;349;353;293;0;0;0;0;0;0;349;353;293;6759;5744;5598;6831;Real estate agencies;A;A;A
LED2WORK GMBH;474;460;394;27;28;34;446;431;359;1;1;1;1273;1152;887;887;697;544;0;0;0;386;455;344;80;217;138;1747;1612;1281;962;704;456;52;52;52;910;652;404;301;305;418;199;155;387;102;150;31;102;150;31;484;603;407;0;0;0;0;0;0;484;603;407;1747;1612;1281;4647;Wholesale of furniture, carpets and lighting equipment;BBB;BBB;BB
HOCHWALD & CO. GMBH;22;16;24;0;0;0;22;16;24;0;0;0;1776;1748;1628;121;108;227;0;0;1288;1654;1640;113;679;608;87;1797;1764;1651;605;496;271;25;25;25;580;471;246;1192;1268;516;1039;945;212;153;323;303;153;323;303;0;0;865;n.a.;n.a.;0;n.a.;n.a.;406;n.a.;n.a.;459;1797;1764;1651;4624;Wholesale of hides, skins and leather;BBB;BBB;BBB
FORSTBETRIEB DREPS GMBH & CO. KG;1737;1724;1802;0;0;n.a.;1737;1724;n.a.;0;0;n.a.;669;495;632;103;56;n.a.;0;0;n.a.;566;438;17;92;70;n.a.;2406;2219;2434;103;102;101;103;102;n.a.;0;0;n.a.;2303;2117;2334;2198;2103;2320;105;14;13;105;14;13;0;0;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;2406;2219;2434;0240;Support services to forestry;BB;B;CCC
AUTOHAUS THOMAS KAPINSKY GMBH & CO. KG;1540;1611;1344;1;2;1;1539;1609;1343;0;0;0;1108;1990;2004;589;1634;1589;0;0;0;519;356;415;93;80;131;2647;3601;3348;616;632;743;616;632;743;0;0;0;1108;1007;949;1069;972;919;39;35;31;39;35;31;923;1962;1656;0;0;0;0;0;0;923;1962;1656;2647;3601;3348;4532;Retail trade of motor vehicle parts and accessories;B;B;B
FRIEBEL WURST- UND FEINKOST GMBH & CO. KG;2877;1781;1971;0;0;0;2877;1781;1971;0;0;0;1430;2062;2201;316;285;234;0;0;0;1114;1777;1967;271;84;493;4307;3843;4172;1251;794;855;1251;10;10;0;784;845;1571;3049;3317;1538;3029;3211;33;21;106;33;21;106;1486;0;0;0;n.a.;n.a.;0;n.a.;n.a.;1486;n.a.;n.a.;4307;3843;4172;1013;Production of meat and poultry meat products;B;BB;BB
SCHEFFER & WIGGERS GMBH;144;177;101;0;0;0;144;177;101;0;0;0;3121;2897;2817;828;918;1124;0;0;458;2293;1979;1234;1792;1469;1169;3265;3075;2918;1501;1313;1201;26;26;26;1476;1287;1175;1691;1693;1614;477;515;624;1213;1178;990;1213;1178;990;73;69;103;0;0;0;0;0;30;73;69;73;3265;3075;2918;4641;Wholesale of textiles;BBB;BBB;BBB
JUMA LOGISTIK GMBH;56;57;39;3;5;6;53;53;33;0;0;0;1593;715;320;6;6;37;0;0;0;1587;710;284;561;272;39;1649;773;359;482;115;25;25;25;25;457;90;0;1167;658;2;857;531;0;309;127;2;309;127;2;0;0;332;n.a.;n.a.;0;n.a.;n.a.;182;n.a.;n.a.;150;1649;773;359;2599;Manufacture of other fabricated metal products nec;BBB;BB;CCC
SOLARPARK BRANDENBURG (HAVEL) GMBH;24941;26986;29034;0;0;0;24941;26986;29034;0;0;0;3681;2930;3112;9;10;13;72;66;0;3599;2854;3099;3290;2534;2648;28621;29916;32146;4148;3915;4530;25;25;25;4123;3890;4505;24474;25989;27616;20291;22421;24519;4183;3568;3097;545;56;73;0;12;0;n.a.;0;n.a.;n.a.;0;n.a.;n.a.;12;n.a.;28621;29916;32146;3511;Production of electricity;BBB;BB;BB
NATURA WALDSERVICE GMBH;32;55;70;0;1;3;32;54;67;0;0;0;1349;917;1007;319;211;366;0;0;0;1030;706;641;599;381;316;1381;973;1077;1003;808;656;110;110;110;893;698;546;379;165;421;313;141;412;65;23;9;65;23;9;0;0;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;1381;973;1077;4673;Wholesale of wood, construction materials and sanitary equipment;BB;BB;BB
EOLOGY GMBH;50;42;35;0;0;0;50;42;35;0;0;0;2121;1681;952;0;0;0;0;0;0;2121;1681;952;1196;1131;466;2171;1723;987;958;801;495;25;25;25;933;776;470;1038;824;441;265;240;124;773;584;317;773;584;317;175;97;50;0;0;0;0;0;0;175;97;50;2171;1723;987;7022;Business and other management consultancy activities;BBB;BBB;BB
LINDER METALLVEREDELUNGSGESELLSCHAFT MIT BESCHRAENKTER HAFTUNG;958;917;1027;4;1;0;954;915;1027;0;0;0;3280;2751;2764;229;260;227;0;0;0;3051;2491;2537;2355;1768;1832;4238;3668;3791;3528;2877;2858;51;51;51;3477;2825;2807;584;790;930;492;716;873;92;74;57;92;74;57;126;2;3;n.a.;0;0;n.a.;0;0;2;2;3;4238;3668;3791;2561;Treatment and coating of metals;BBB;BBB;BBB
ERNST GUNST GMBH & CO.KG;251;289;274;2;6;6;190;222;195;59;62;73;1787;1953;1772;1040;1062;1089;0;0;0;746;890;683;537;633;511;2038;2242;2046;628;791;825;628;791;825;0;0;0;1410;1452;1221;1288;1167;1074;122;285;148;122;285;148;0;0;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;2038;2242;2046;4759;Retail sale of furniture, lighting equipment and other household articles in specialised stores;BB;BBB;BBB
INFO GMBH MARKT- UND MEINUNGSFORSCHUNG;615;646;634;1;3;7;32;54;63;583;589;563;1159;1396;1394;450;350;851;0;0;0;708;1046;543;51;329;121;1774;2042;2028;1279;1521;1460;26;26;26;1253;1496;1435;455;405;365;10;20;30;445;385;335;445;385;335;40;116;203;0;0;0;0;0;0;40;116;203;1774;2042;2028;7320;Market research and public opinion polling;BBB;BBB;BBB
STADTZEITUNG GMBH & CO. KG;472;594;636;261;367;430;84;100;79;127;127;127;289;280;313;0;0;0;0;0;0;289;280;313;66;51;65;761;874;949;50;50;50;-276;0;0;326;50;50;711;50;899;654;0;850;57;50;49;57;50;49;0;775;0;n.a.;0;n.a.;n.a.;0;n.a.;n.a.;775;n.a.;761;874;949;5813;Publishing of newspapers;BB;CCC;BB
BUENGER BAU- UND PROJEKTMANAGEMENT GMBH;128;129;129;0;0;0;128;129;129;0;0;0;2651;2499;2868;131;1676;684;30;347;14;2490;477;2170;80;120;381;2779;2628;2997;125;125;125;125;125;125;0;0;0;1875;2230;2373;0;46;0;1875;2184;2373;1875;2184;2373;779;273;499;0;0;0;723;221;416;56;51;83;2779;2628;2997;7112;Engineering activities and related technical consultancy;CCC;CCC;B
JAKOB SCHOBER GMBH;192;195;164;110;109;69;81;85;94;1;1;1;787;874;942;406;363;397;0;0;0;380;511;545;24;106;104;978;1069;1106;705;726;787;153;153;153;552;573;633;273;342;319;221;300;287;52;42;33;52;42;33;0;0;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;978;1069;1106;2222;Manufacture of plastic packing goods;BB;BB;BB
PSYCHIATRISCHES PFLEGEZENTRUM BUNTENBOCK GMBH;86;114;101;0;0;0;86;114;101;0;0;0;664;679;448;11;12;12;0;0;0;653;667;436;394;300;202;750;793;549;120;120;26;25;25;25;95;95;1;631;673;523;543;546;452;88;127;71;88;127;71;0;0;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;750;793;549;8730;Residential care activities for the elderly and disabled;BB;BB;BB
KBL CIRCUITS GMBH & CO.KG;11;16;18;0;0;0;11;16;18;0;0;0;2192;2782;2740;894;872;790;0;0;0;1298;1911;1950;133;769;725;2203;2798;2758;3;3;3;3;3;3;0;0;0;2200;2795;253;1806;2372;0;394;423;253;394;423;253;0;0;2502;n.a.;n.a.;0;n.a.;n.a.;0;n.a.;n.a.;2502;2203;2798;2758;4652;Wholesale of electronic and telecommunications equipment and parts;B;CCC;CCC
TAILORMADE GMBH;311;339;206;2;2;5;310;337;201;0;0;0;1009;703;987;1;38;44;0;0;0;1008;665;943;255;253;172;1320;1042;1192;253;103;525;25;25;25;228;78;500;293;939;24;210;828;0;83;111;24;83;111;24;774;0;643;n.a.;n.a.;0;n.a.;n.a.;0;6;n.a.;643;1320;1042;1192;7022;Business and other management consultancy activities;BB;BB;BB
GS ENERGIETECHNIK GMBH;122;141;122;4;1;3;118;140;118;0;0;0;2711;1930;1366;1383;563;371;0;0;0;1328;1367;995;716;816;463;2833;2071;1488;1290;858;723;25;25;25;1265;833;698;1544;1213;765;1472;1112;648;72;101;116;72;101;116;0;0;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;2833;2071;1488;7112;Engineering activities and related technical consultancy;BBB;BBB;BB
AUTOHAUS ZAKOWSKI GMBH & CO. KG;88;49;34;0;0;0;88;49;34;0;0;0;1239;1629;1917;1019;1421;1696;0;0;0;220;208;221;17;3;35;1327;1678;1951;-118;-204;-628;35;34;33;-153;-238;-661;63;1883;59;2;1839;28;60;44;31;60;44;31;1382;0;2520;0;n.a.;0;0;n.a.;0;1382;n.a.;2520;1327;1678;1951;4510;Sale of motor vehicles;CCC;CCC;C
ADC GMBH;1412;1725;1983;0;0;0;1412;1725;1983;0;0;0;780;706;731;189;179;114;0;0;0;590;527;617;5;6;26;2191;2431;2714;-3666;-3214;0;25;25;25;-3691;-3239;-25;4396;4294;2713;4201;4069;2518;195;225;195;195;225;195;1461;1351;0;n.a.;n.a.;0;n.a.;n.a.;0;0;0;0;2191;2431;2714;7490;Other professional, scientific and technical activities nec;CCC;CCC;CCC
E. SANDER GMBH;68;80;95;2;3;1;66;77;94;0;0;0;1493;1501;1484;401;343;352;0;0;0;1092;1158;1133;241;138;221;1562;1581;1579;31;21;-105;52;52;52;-21;-30;-157;106;151;229;70;110;180;36;41;49;36;41;49;1424;1409;1455;0;0;0;0;0;0;1424;1409;1455;1562;1581;1579;4622;Wholesale of flowers and plants;CCC;CCC;CCC
AUTOHAUS FELDMANN GMBH & CO. KG;507;494;575;0;0;0;507;494;575;0;0;0;963;1213;1373;664;773;868;0;0;0;300;440;505;13;3;19;1471;1707;1948;15;15;15;15;15;15;0;0;0;1456;1692;1933;1392;1655;1884;64;37;49;64;37;49;0;0;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;1471;1707;1948;4510;Sale of motor vehicles;B;B;B
G & S GUSS UND STAHL BOCHUM GESELLSCHAFT MIT BESCHRAENKTER HAFTUNG;88;72;88;1;0;0;87;72;88;0;0;0;1211;1347;985;323;272;135;0;0;0;887;1075;851;211;410;223;1299;1419;1073;553;398;393;51;51;51;502;346;342;125;1021;129;66;964;65;60;57;64;60;57;64;620;0;551;0;n.a.;0;0;n.a.;0;620;n.a.;551;1299;1419;1073;4672;Wholesale of metals and metal ores;BB;BB;BB
AMBULANTE KRANKEN- U. ALTENPFLEGE REINHARD LIPSKI U. KLAUS SCHMIDT GMBH & CO. KG;171;143;117;3;5;6;168;138;111;0;0;0;591;658;609;0;0;0;0;0;0;591;658;609;35;73;35;762;801;726;31;31;31;31;31;31;0;0;0;240;298;258;93;117;113;147;181;145;147;181;145;492;472;437;0;0;0;0;0;0;492;472;437;762;801;726;8810;Social work activities without accommodation for the elderly and disabled;B;B;B
WASSERVERBUND NIEDERRHEIN GESELLSCHAFT MIT BESCHRAENKTER HAFTUNG;16021;15959;15685;280;326;376;15740;15631;15306;2;2;3;1374;1449;1506;0;0;0;0;0;0;1374;1449;1506;375;488;609;17395;17408;17192;13380;12622;12088;2310;2310;2310;11070;10312;9778;4000;4769;4042;1344;2404;1588;2655;2364;2454;2655;2364;2454;15;17;1061;0;0;n.a.;0;0;n.a.;15;17;19;17395;17408;17192;3600;Water collection, treatment and supply;BBB;BBB;BBB
CYCOS AG;190;247;356;19;56;76;171;191;280;0;0;0;10997;11071;11960;0;0;0;0;0;0;10997;11071;11960;525;193;433;11187;11318;12315;10215;10215;10215;7818;7818;7818;2397;2397;2397;563;809;1461;0;0;0;563;809;1461;563;809;1461;408;294;639;0;0;0;45;45;30;363;249;609;11187;11318;12315;6200;Computer programming, consultancy and related activities;BBB;BBB;A
DEWAG WOHNEN GMBH & CO. KG;113;104;25;42;0;4;71;104;21;0;0;0;973;1074;814;0;193;24;568;598;397;405;283;394;380;252;370;1086;1178;839;250;705;250;250;250;250;0;455;0;157;132;153;0;0;0;157;132;153;157;132;153;679;341;436;0;0;0;134;167;140;544;175;297;1086;1178;839;6810;Buying and selling of own real estate;A;AAA;A
BETONWERK WAGNER & CO. GMBH & CO. KOMMANDITGESELLSCHAFT;1182;893;923;10;5;4;1156;872;905;16;16;15;1037;1061;1061;83;71;68;0;0;0;954;990;992;149;371;312;2219;1954;1984;1556;1507;552;1556;1507;552;0;0;0;663;158;28;549;38;0;114;120;28;114;120;28;0;289;1404;n.a.;0;0;n.a.;0;0;n.a.;289;1404;2219;1954;1984;2361;Manufacture of concrete products for construction purposes;BBB;BBB;BB
PARKHOTEL FRANK GMBH;2927;3062;3079;0;0;0;2927;3062;3079;0;0;0;733;762;1413;99;82;82;0;0;0;634;680;1331;16;66;95;3660;3824;4492;1081;1093;1088;26;26;26;1056;1068;1063;1902;1926;2302;1832;1776;2004;70;150;298;70;150;298;677;805;1102;0;0;0;0;0;0;677;805;1102;3660;3824;4492;5510;Hotels and similar accommodation;B;B;BB
DZ DONAUZEMENT GMBH;0;0;0;0;0;0;0;0;0;0;0;0;688;690;606;0;0;0;240;32;9;448;657;596;338;559;396;688;690;606;663;605;556;174;174;174;489;432;382;15;84;50;10;46;34;6;38;16;6;38;16;10;0;0;0;n.a.;n.a.;0;n.a.;n.a.;10;n.a.;n.a.;688;690;606;2351;Manufacture of cement;BB;BB;BB
ICEF INTERNATIONAL CONSULTANTS FOR EDUCATION AND FAIRS GMBH;266;438;537;186;349;511;57;66;26;24;24;0;5699;6521;6354;593;1056;602;0;0;0;5106;5466;5752;3116;3116;3413;5965;6960;6891;1821;2428;2418;26;26;26;1796;2403;2392;129;4531;4473;0;4421;4391;129;110;82;129;110;82;4015;0;0;0;n.a.;n.a.;0;n.a.;n.a.;4015;n.a.;n.a.;5965;6960;6891;8230;Organisation of conventions and trade shows;BB;BBB;BBB
HENRICH SCHROEDER GMBH;197;227;249;33;0;0;154;217;238;11;11;11;1875;2168;1834;654;493;490;0;0;0;1221;1675;1344;727;1115;677;2072;2395;2083;1025;525;657;30;30;30;995;495;627;643;1870;163;170;1507;0;473;364;163;473;364;163;404;0;1263;0;n.a.;0;0;n.a.;0;404;n.a.;1263;2072;2395;2083;4322;Plumbing, heat and air conditioning installation;BBB;BBB;BBB
