Company name;Fixed assets 2018;Fixed assets 2017;Fixed assets 2016;Intangible fixed assets 2018;Intangible fixed assets 2017;Intangible fixed assets 2016;Tangible fixed assets 2018;Tangible fixed assets 2017;Tangible fixed assets 2016;Other fixed assets 2018;Other fixed assets 2017;Other fixed assets 2016;Current assets 2018;Current assets 2017;Current assets 2016;Stock 2018;Stock 2017;Stock 2016;Debtors 2018;Debtors 2017;Debtors 2016;Other current assets 2018;Other current assets 2017;Other current assets 2016;Cash & cash equivalent 2018;Cash & cash equivalent 2017;Cash & cash equivalent 2016;Total assets 2018;Total assets 2017;Total assets 2016;Shareholders funds 2018;Shareholders funds 2017;Shareholders funds 2016;Capital 2018;Capital 2017;Capital 2016;Other shareholders funds 2018;Other shareholders funds 2017;Other shareholders funds 2016;Non-current liabilities 2018;Non-current liabilities 2017;Non-current liabilities 2016;Long term debt 2018;Long term debt 2017;Long term debt 2016;Other non-current liabilities 2018;Other non-current liabilities 2017;Other non-current liabilities 2016;Provisions 2018;Provisions 2017;Provisions 2016;Current liabilities 2018;Current liabilities 2017;Current liabilities 2016;Loans 2018;Loans 2017;Loans 2016;Creditors 2018;Creditors 2017;Creditors 2016;Other current liabilities 2018;Other current liabilities 2017;Other current liabilities 2016;Total shareh. funds & liab. 2018;Total shareh. funds & liab. 2017;Total shareh. funds & liab. 2016;NACE Rev. 2 primary code;NACE Rev. 2, primary code description;MORE evaluation - Score 2018;MORE evaluation - Score 2017;MORE evaluation - Score 2016
M. STEMICK GMBH;122;154;182;0;0;0;122;154;182;0;0;0;2840;3312;2638;2265;2614;2199;0;0;0;575;697;440;286;162;56;2962;3466;2820;753;775;656;26;26;26;728;749;630;2209;2692;2164;2081;2433;1981;127;259;183;127;259;183;0;0;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;2962;3466;2820;4663;Wholesale of mining, construction and civil engineering machinery;BB;B;B
AFTON CHEMICAL GMBH;23;27;33;0;0;0;23;27;33;0;0;0;9867;10068;10201;0;0;0;0;0;217;9867;10068;9984;34;29;52;9890;10095;10234;3070;2642;4215;26;26;26;3044;2616;4189;6801;7429;6019;0;0;0;6801;7429;6019;6801;7429;6019;18;24;0;n.a.;n.a.;n.a.;18;24;0;n.a.;n.a.;n.a.;9890;10095;10234;4671;Wholesale of solid, liquid and gaseous fuels and related products;A;BBB;A
SMARTMENTS BUSINESS BETRIEBSGESELLSCHAFT MBH;326;215;64;4;13;13;223;102;51;100;100;0;3918;3446;3151;18;5;0;0;0;0;3900;3441;3151;195;203;89;4245;3661;3215;2645;2260;2384;2000;2000;2000;645;260;384;401;71;831;0;0;525;401;71;306;401;71;306;1198;1330;0;0;0;n.a.;0;0;n.a.;1198;1330;n.a.;4245;3661;3215;6820;Renting and operating of own or leased real estate;BBB;BBB;BBB
HEIDELBERG MARKETING GMBH;265;302;20;23;27;6;242;275;14;0;0;0;2652;2142;568;33;22;5;565;0;0;2054;2120;564;2033;1544;453;2917;2445;588;437;437;161;120;120;25;318;318;136;200;244;50;0;0;0;200;244;50;200;244;50;2279;1763;377;0;0;0;922;746;281;1357;1017;96;2917;2445;588;8299;Other business support service activities nec;BB;BB;BB
ROECK MILCHTRANSPORTE GMBH & CO.KG;838;1522;501;9;18;18;803;1480;459;25;25;25;1194;1376;1033;0;0;0;0;0;0;1194;1376;1033;0;50;27;2032;2898;1534;-272;687;3;0;687;3;-272;0;0;2304;2212;1531;2212;2121;1409;92;91;122;92;91;122;0;0;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;2032;2898;1534;4941;Freight transport by road;CCC;BB;CCC
GROEGER REISEN GMBH;3370;3737;3449;0;0;0;3370;3737;3449;0;0;0;2162;1804;1854;37;34;32;0;0;0;2125;1770;1823;761;849;1312;5532;5540;5303;1520;1471;1601;25;25;25;1495;1446;1576;2904;3320;2957;2724;3112;2650;180;207;307;180;207;307;1108;749;745;0;0;0;0;0;0;1108;749;745;5532;5540;5303;4931;Urban and suburban passenger land transport;B;B;B
ANTON HEINE GMBH FIDELISBAECK;1145;1125;1222;12;19;30;831;803;890;302;302;302;1110;1082;1022;61;61;69;0;0;0;1049;1020;953;938;857;811;2255;2206;2244;1742;1798;1741;260;260;260;1482;1538;1481;235;182;177;0;0;0;235;182;177;235;182;177;278;226;326;0;0;0;0;0;0;278;226;326;2255;2206;2244;1071;"Manufacture of bread; manufacture of fresh pastry goods and cakes";BBB;BBB;BBB
ST-SERVICE GMBH & CO. KG;566;343;61;21;9;0;544;334;61;0;0;0;1908;2073;1702;793;798;775;0;0;0;1115;1276;927;219;142;128;2474;2416;1764;534;534;533;534;534;533;0;0;0;49;1882;1231;0;1759;1129;49;123;101;49;123;101;1890;0;0;0;n.a.;n.a.;0;n.a.;n.a.;1890;n.a.;n.a.;2474;2416;1764;7311;Advertising agencies;BB;BB;BBB
RASTER TECHNOLOGY GMBH;88;94;95;1;0;2;87;94;92;0;0;0;4460;4184;3524;3332;3579;2059;0;0;0;1129;605;1464;8;447;835;4548;4278;3618;80;80;80;25;25;25;55;55;55;545;4198;550;0;3799;0;545;399;550;545;399;550;3923;0;2989;0;n.a.;0;0;n.a.;0;3923;n.a.;2989;4548;4278;3618;2841;Manufacture of metal forming machinery;CC;CC;CCC
S&P DEUTSCHLAND GMBH;63;77;37;1;9;6;63;69;31;0;0;0;2680;2905;2747;866;856;808;0;0;0;1814;2050;1939;1206;1170;972;2744;2983;2784;2290;2188;1952;92;92;92;2198;2096;1860;454;163;87;336;0;0;118;163;87;118;163;87;0;632;745;n.a.;0;0;n.a.;0;0;n.a.;632;745;2744;2983;2784;4660;Wholesale of other machinery, equipment and supplies;BBB;BBB;BBB
H & S HARD- & SOFTWARE TECHNOLOGIE GMBH & CO. KG;175;150;232;25;79;134;123;43;71;27;27;27;3573;2807;2178;1180;1059;892;0;0;0;2394;1748;1286;639;726;664;3748;2956;2410;1247;1244;1170;617;615;611;629;629;559;390;476;422;0;0;0;390;476;422;388;469;400;2111;1236;818;0;0;0;0;0;0;2111;1236;818;3748;2956;2410;2712;Manufacture of electricity distribution and control apparatus;BB;BBB;BBB
BEKAERT GMBH;348;389;417;0;0;0;21;30;35;327;359;382;22988;22640;22367;202;201;152;129;187;100;22657;22252;22116;0;0;0;23336;23029;22784;14693;14019;13453;3074;3074;3074;11619;10945;10379;8275;8668;8959;0;0;0;8275;8668;8959;8275;8668;8959;369;342;372;0;0;0;99;83;78;270;259;294;23336;23029;22784;4672;Wholesale of metals and metal ores;BBB;A;BBB
TEXTRON MOTORS GMBH;4379;12358;15701;3650;10715;11864;728;1643;3837;0;0;0;31721;41399;29467;1360;2500;8914;4;722;485;30357;38176;20068;1;2;1;36100;53757;45168;33500;33500;33075;500;500;500;33000;33000;32575;462;161;12015;0;0;11614;462;161;400;462;161;400;2138;20096;79;0;0;0;603;606;0;1535;19490;79;36100;53757;45168;2932;Manufacture of other parts and accessories for motor vehicles;AA;BBB;B
